Author,Title,Emotion
Birdy,Wings,Sad
Blue,Sorry Seems to Be the Hardest Word,Sad
Bon Iver,Holocene,Sad
Brad Paisley,Whisky Lullaby,Sad
Bruce Springsteen,Dancing in The Dark,Sad
Bruce Springsteen,Streets of Philadelphia,Sad
Bruno Mars,It Will Rain,Sad
Bruno Mars,When I Was Your Man,Sad
Calum Scott,Daning On My Own,Sad
Chord Overstreet,Hold On,Sad
Christina Aguilera,Hurt,Sad
Christina Perri,A Thousand Years,Sad
Christina Perri,Jar of Hearts,Sad
Coldplay,The Scientist,Sad
Daughter,Youth,Sad
Dean Lewis,Be Alright,Sad
Demi Lovato,Stone Cold,Sad
Ed Sheeran,Happier,Sad
Ed Sheeran,I See Fire,Sad
Ed Sheeran,Supermarket Flowers,Sad
Ed Sheeran,The A Team,Sad
Emeli Sande,Real All About It,Sad
Eminem,Space Bound,Sad
Evanescence,My Immortal,Sad
Finding Hope,3:00 AM,Sad
Finneas,Break My Heart Again,Sad
Flora Cash,You're Somebody Else,Sad
George Michael,Careless Whisper,Sad
Gnash,"I Hate u, I Love u",Sad
Halsey,Sorry,Sad
Harry Styles,Sign of the Times,Sad
Linkin Park,Heavy,Sad
Imagine Dragons,Not Today From Me Before You,Sad
James Arthur,Can I Be Him,Sad
James Arthur,Impossible,Sad
James Bay,Let It Go,Sad
James Blunt,You're Beautiful,Sad
Jess Glynne,Take Me Home,Sad
Jessie Ware,Say You Love Me,Sad
joel adams,please don't go,Sad
johny cash,hurt,Sad
jordin sparks,no air,Sad
juice wrld,lucid dreams,Sad
justin timberlake,mirrors,Sad
kaleo,way down we go,Sad
katy perry,the one that got away,Sad
keane,somewhere only we know,Sad
kelly clarkson,because of you,Sad
kodaline,all I want,Sad
labrinth,jealous,Sad
lady antebellum,need you now,Sad
lil peep,star shopping,Dreamy
A la nanita nana,the cheetah girls,Dreamy
Aaliyah,Come Over,Dreamy
American Horror Story,Kali uchis,Dreamy
American Horror Story,Coven,Dreamy
Aquilo,Silhouette,Dreamy
Arian Grande,Be Alright,Dreamy
Camila Cabello,I have Questions,Dreamy
Cigarettes after Sex,Nothing's Gonna Hurt You Baby,Dreamy
Emma Louise,Underflow,Dreamy
Flatsound,"It's Sunday, April 19th and i miss you",Dreamy
Gabrielle Aplin,Salvation,Dreamy
Gnash,I miss you,Dreamy
Hurts,Help,Dreamy
In Love with a Ghost,Flowers,Dreamy
Joji,Will He,Dreamy
Joji,Demons,Dreamy
Jordan Maxwell,Is it Too Much to Ask For,Dreamy
Lana Del Rey,Love,Dreamy
Lana Del Rey,Yayo,Dreamy
Lana Del Rey,Summertime Sadness,Dreamy
Lana Del Rey,bel air,Dreamy
Lil Peep,Star Shooting,Dreamy
Lil Peep,We think too much,Dreamy
Lil Peep,The Way I See Things,Dreamy
Lil Peep,Lose My Mind,Dreamy
Lil Peep,Let me Bleed,Dreamy
Lil Peep,"I Crash, U Crash",Dreamy
Lil Peep,High School,Dreamy
Lil Peep,Crybaby,Dreamy
Lonely,With u,Dreamy
Lontalius,Sleep Thru Ur Alarms,Dreamy
Lontalius,Selfless,Dreamy
Lontalius,I was more than,Dreamy
Lontalius,Dreams in my Head,Dreamy
Lorn,Acid Rain,Dreamy
M83,Wait,Dreamy
Melanie Martinez,Soap Music Box,Dreamy
Message to Bears,You are a Memory,Dreamy
Michael Jackson,Butterflies,Dreamy
n u a g e s,Dreams,Dreamy
Olafur Arnalds,So Far,Dreamy
Russ,Moonlight in Atlanta,Dreamy
Sabrina Claudio,Confidently Lost,Dreamy
Sagun,I'll Keep you Safe,Dreamy
Sleeping at Last,Turning Pages,Dreamy
Sleeping At Last,Saturn,Dreamy
Sleeping At Last,Chasing Cars,Dreamy
Strays Dont Sleep,For Blue Skies,Dreamy
SZA,Teen Spirit,Dreamy
The Neighbourhood,Wires,Dreamy
The Neighbourhood,Daddy Issues,Dreamy
The Saxophones,If you're on the Water,Dreamy
The Weeknd,Stargirl Interlude,Dreamy
Timmies,Tell me Why I'm Waiting,Dreamy
tothegood,Remember Her,Dreamy
Tsuki,Who,Dreamy
Twenty One Pilots,"Oh, ms believer",Dreamy
Velvetears,Will I Ever Care,Dreamy
The Neighbourhood,Wires,Dreamy
with u',lonely,Dreamy
